Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,432.588074,436.787964,407.388763,432.588074,304.904572,76180670
2005-09-30,457.787384,457.787384,432.588074,457.787384,322.666016,105493978
2005-10-03,470.387024,474.586914,440.987854,470.387024,331.546692,59712955
2005-10-04,474.586914,482.986694,466.187164,474.586914,334.506927,56236668
2005-10-05,482.986694,482.986694,466.187164,482.986694,340.427429,31319315
2005-10-06,466.187164,482.986694,461.987274,466.187164,328.586487,8107366
2005-10-07,470.387024,470.387024,457.787384,470.387024,331.546692,6577562
2005-10-10,466.187164,470.387024,457.787384,466.187164,328.586487,23223854
2005-10-11,466.187164,466.187164,461.987274,466.187164,328.586487,13497395
2005-10-12,470.387024,474.586914,466.187164,470.387024,331.546692,29804392
2005-10-13,474.586914,474.586914,470.387024,474.586914,334.506927,12738446
2005-10-14,474.586914,474.586914,470.387024,474.586914,334.506927,12018188
2005-10-17,474.586914,474.586914,474.586914,474.586914,334.506927,0
2005-10-18,470.387024,474.586914,470.387024,470.387024,331.546692,12110452
2005-10-19,461.987274,470.387024,461.987274,461.987274,325.626251,5631107
2005-10-20,461.987274,461.987274,461.987274,461.987274,325.626251,0
2005-10-21,461.987274,461.987274,461.987274,461.987274,325.626251,3038774
2005-10-24,449.387604,461.987274,445.187744,449.387604,316.745544,10875299
2005-10-25,449.387604,449.387604,449.387604,449.387604,316.745544,0
2005-10-26,453.587494,457.787384,449.387604,453.587494,319.705750,14298013
2005-10-27,440.987854,457.787384,440.987854,440.987854,310.825012,16018298
2005-10-28,428.388184,436.787964,428.388184,428.388184,301.944336,15390305
2005-10-31,432.588074,432.588074,424.188324,432.588074,304.904572,25104858
2005-11-01,428.388184,432.588074,428.388184,428.388184,301.944336,35012869
2005-11-07,428.388184,428.388184,428.388184,428.388184,301.944336,0
2005-11-08,428.388184,428.388184,428.388184,428.388184,301.944336,0
2005-11-09,428.388184,428.388184,428.388184,428.388184,301.944336,0
2005-11-10,419.988434,432.588074,419.988434,419.988434,296.023834,25747733
2005-11-11,411.588654,424.188324,411.588654,411.588654,290.103363,12366412
2005-11-14,411.588654,415.788544,407.388763,411.588654,290.103363,7637115
2005-11-15,403.188873,415.788544,403.188873,403.188873,284.182861,33515804
2005-11-16,407.388763,407.388763,398.989014,407.388763,287.143127,22512525
2005-11-17,403.188873,407.388763,398.989014,403.188873,284.182861,9684790
2005-11-18,407.388763,411.588654,407.388763,407.388763,287.143127,41161848
2005-11-21,419.988434,419.988434,411.588654,419.988434,296.023834,80606388
2005-11-22,436.787964,436.787964,419.988434,436.787964,307.864838,94172238
2005-11-23,436.787964,440.987854,432.588074,436.787964,307.864838,68745942
2005-11-24,436.787964,440.987854,432.588074,436.787964,307.864838,13425965
2005-11-25,428.388184,440.987854,428.388184,428.388184,301.944336,19682090
2005-11-28,432.588074,432.588074,428.388184,432.588074,304.904572,3297709
2005-11-29,457.787384,457.787384,432.588074,457.787384,322.666016,105038609
2005-11-30,478.786804,478.786804,453.587494,478.786804,337.467163,67989968
2005-12-01,487.186584,495.586334,478.786804,487.186584,343.387695,83731474
2005-12-02,491.386444,495.586334,482.986694,491.386444,346.347931,42402954
2005-12-05,487.186584,491.386444,482.986694,487.186584,343.387695,22283352
2005-12-06,491.386444,503.986115,487.186584,491.386444,346.347931,61745749
2005-12-07,482.986694,495.586334,482.986694,482.986694,340.427429,23655413
2005-12-08,482.986694,495.586334,482.986694,482.986694,340.427429,24497698
2005-12-09,524.985535,529.185425,487.186584,524.985535,370.029816,114910904
2005-12-12,608.983215,642.582275,533.385315,608.983215,429.234528,157772205
2005-12-13,608.983215,629.982666,592.183655,608.983215,429.234528,117589550
2005-12-14,566.984375,608.983215,566.984375,566.984375,399.632202,106342216
2005-12-15,545.984924,566.984375,541.785095,545.984924,384.830994,60043321
2005-12-16,537.585205,562.784485,537.585205,537.585205,378.910553,42575578
2005-12-19,571.184265,571.184265,545.984924,571.184265,402.592377,41027916
